date,ticker,bank_name,open,high,low,close,volume,pct_change
2025-12-26,CTG,VietinBank,34900.0,35250.0,34250.0,35200.0,10634760,0.5714285714285783
2025-12-29,CTG,VietinBank,35000.0,35350.0,34900.0,35300.0,7590183,0.28409090909091717
2025-12-30,CTG,VietinBank,35350.0,35950.0,35200.0,35650.0,8465324,0.9915014164305846
2025-12-31,CTG,VietinBank,35700.0,35800.0,35400.0,35750.0,9933658,0.28050490883591017
2026-01-05,CTG,VietinBank,35800.0,36100.0,34550.0,35500.0,10851530,-0.6993006993006978
2026-01-06,CTG,VietinBank,35400.0,36200.0,34800.0,36200.0,15023810,1.9718309859154903
2026-01-07,CTG,VietinBank,36400.0,37500.0,36350.0,37450.0,22164090,3.4530386740331487
2026-01-08,CTG,VietinBank,37550.0,39500.0,37100.0,38200.0,32481460,2.002670226969294
2026-01-09,CTG,VietinBank,39000.0,40850.0,38700.0,40750.0,38937420,6.675392670157065
2026-01-12,CTG,VietinBank,42000.0,43500.0,41350.0,41500.0,39329230,1.8404907975460016
2026-01-13,CTG,VietinBank,41500.0,42350.0,40000.0,41300.0,32520600,-0.48192771084337727
2026-01-14,CTG,VietinBank,40800.0,43250.0,40650.0,41450.0,30626230,0.363196125907983
2026-01-15,CTG,VietinBank,40500.0,41000.0,39600.0,40000.0,27259030,-3.49819059107358
2026-01-16,CTG,VietinBank,40700.0,41550.0,39500.0,39600.0,21848510,-1.0000000000000009
2026-01-19,CTG,VietinBank,39650.0,40350.0,39550.0,40000.0,13580330,1.0101010101010166
2026-01-20,CTG,VietinBank,40450.0,40600.0,39650.0,39650.0,20425150,-0.8750000000000036
2026-01-21,CTG,VietinBank,39550.0,40550.0,39000.0,40200.0,20456740,1.387137452711218
2026-01-22,CTG,VietinBank,40400.0,41300.0,39850.0,39900.0,22303160,-0.7462686567164201
2026-01-23,CTG,VietinBank,40000.0,40050.0,38850.0,39000.0,18196810,-2.2556390977443663
2026-01-26,CTG,VietinBank,39050.0,39150.0,38050.0,38200.0,17559240,-2.051282051282055
2026-01-27,CTG,VietinBank,38200.0,38650.0,38100.0,38250.0,12933010,0.13089005235602524
2026-01-28,CTG,VietinBank,38350.0,39650.0,38300.0,38400.0,15560850,0.39215686274509665
2026-01-29,CTG,VietinBank,38500.0,38900.0,38100.0,38300.0,10184600,-0.26041666666666297
2026-01-30,CTG,VietinBank,38200.0,39000.0,37800.0,38750.0,28635730,1.1749347258485532
2026-02-02,CTG,VietinBank,38800.0,39800.0,38700.0,39350.0,23475870,1.5483870967741842
2026-02-03,CTG,VietinBank,39750.0,40300.0,39300.0,39700.0,24210140,0.8894536213468918
2026-02-04,CTG,VietinBank,39900.0,39900.0,39150.0,39600.0,18308570,-0.25188916876573986
2026-02-05,CTG,VietinBank,39650.0,39700.0,38600.0,38600.0,16386810,-2.5252525252525304
